,c,h,l,o,s,t,v,Date,price,enter,target,exit,profit,bank,stock,stock_val,value,tick,gobble,gain,stock_gain
0,98.08,99.06,93.74,94.86,ok,1559520000,1316400,2019-06-02 19:00:00,94.86,1043.46,97.7058,1083.17,0,48956.54,11,1043.46,50000.0,0,11,1.0,1.0
1,95.45,102.8,94.89,98.47,ok,1560124800,1208600,2019-06-09 19:00:00,98.47,984.7,101.4241,1044.3000000000002,39.710000000000036,49055.01,10,984.7,50039.71,1,10,1.0007942,1.038056082648113
2,96.72,101.81,95.14,95.38,ok,1560729600,1225000,2019-06-16 19:00:00,95.38,953.8,98.2414,1044.3000000000002,0,48101.21,20,1907.6,50008.81,2,10,1.0001761999999998,1.005481762597512
3,103.4,104.02,95.37,97.19,ok,1561334400,1474200,2019-06-23 19:00:00,97.19,971.9,100.1057,1044.3000000000002,0,47129.31,30,2915.7,50045.009999999995,3,10,1.0009001999999998,1.024562513177314
4,103.55,107.9,102.33,104.43,ok,1561939200,799700,2019-06-30 19:00:00,104.43,1044.3000000000002,107.56290000000001,1145.0,222.50000000000057,49217.909999999996,10,1044.3000000000002,50262.21,4,10,1.0052442,1.1008855154965214
5,106.09,106.44,100.77,103.23,ok,1562544000,1301900,2019-07-07 19:00:00,103.23,1032.3,106.32690000000001,1064.6,0,48185.60999999999,20,2064.6,50250.20999999999,5,10,1.0050042,1.0882352941176472
6,104.02,106.94,101.06,106.46,ok,1563148800,1502700,2019-07-14 19:00:00,106.46,958.14,109.65379999999999,1030.5,32.299999999999955,48292.06999999999,19,2022.7399999999998,50314.80999999999,6,9,1.0062961999999998,1.1222854733291165
7,114.39,114.87,104.66,104.66,ok,1563753600,2535800,2019-07-21 19:00:00,104.66,1046.6,107.7998,1145.0,0,47245.469999999994,29,3035.14,50280.60999999999,7,10,1.0056121999999998,1.1033101412608053
8,106.62,115.29,106.12,114.5,ok,1564358400,1468600,2019-07-28 19:00:00,114.5,1030.5,117.935,1073.43,271.4599999999999,49535.469999999994,9,1030.5,50565.969999999994,8,9,1.0113193999999999,1.2070419565675732
9,105.33,108.79,100.42,103.11,ok,1564963200,1743700,2019-08-04 19:00:00,103.11,1031.1,106.2033,1101.9,0,48504.369999999995,19,1959.09,50463.45999999999,9,10,1.0092691999999999,1.0869702719797596
10,107.79,108.53,102.32,104.71,ok,1565568000,1086000,2019-08-11 19:00:00,104.71,1047.1,107.8513,1101.9,0,47457.27,29,3036.5899999999997,50493.85999999999,10,10,1.0098771999999998,1.1038372338182585
11,104.52,111.01,104.19,110.19,ok,1566172800,1302600,2019-08-18 19:00:00,110.19,991.71,113.4957,1026.54,125.60000000000036,48669.36,18,1983.42,50652.78,11,9,1.0130556,1.161606578115117
12,109.0,110.77,103.05,106.9,ok,1566777600,888400,2019-08-25 19:00:00,106.9,962.1,110.10700000000001,1005.48,0,47707.26,27,2886.3,50593.560000000005,12,9,1.0118712,1.1269238878347039
13,111.02,113.67,106.45,107.6,ok,1567382400,796600,2019-09-01 19:00:00,107.6,968.4,110.828,1005.48,0,46738.86,36,3873.6,50612.46,13,9,1.0122492,1.134303183639047
14,114.38,115.14,108.34,111.72,ok,1567987200,1318200,2019-09-08 19:00:00,111.72,1005.48,115.0716,1045.17,80.46000000000004,47744.34,27,3016.44,50760.78,14,9,1.0152155999999999,1.1777356103731815
15,111.86,114.8,108.35,112.94,ok,1568592000,1305200,2019-09-15 19:00:00,112.94,1016.46,116.3282,1073.43,0,46727.88,36,4065.84,50793.72,15,9,1.0158744,1.190596668775037
16,110.37,115.16,110.02,110.76,ok,1569196800,1372100,2019-09-22 19:00:00,110.76,996.84,114.0828,1045.17,0,45731.04,45,4984.2,50715.24,16,9,1.0143048,1.1676154332700823
17,110.11,114.75,103.08,110.9,ok,1569801600,1551500,2019-09-29 19:00:00,110.9,998.1,114.227,1045.17,0,44732.94,54,5988.6,50721.54,17,9,1.0144308,1.169091292430951
18,110.19,111.86,103.49,109.47,ok,1570406400,1426500,2019-10-06 19:00:00,109.47,985.23,112.75410000000001,1026.54,0,43747.71,63,6896.61,50644.32,18,9,1.0128864,1.1540164452877926
19,108.65,112.53,106.85,109.8,ok,1571011200,951700,2019-10-13 19:00:00,109.8,988.1999999999999,113.094,1026.54,0,42759.51,72,7905.599999999999,50665.11,19,9,1.0133022,1.157495256166983
20,107.87,114.0,106.75,110.27,ok,1571616000,1905700,2019-10-20 19:00:00,110.27,992.43,113.57809999999999,1026.54,0,41767.08,81,8931.869999999999,50698.95,20,9,1.013979,1.162449926207042
21,109.81,112.54,105.93,108.69,ok,1572220800,1370000,2019-10-27 19:00:00,108.69,978.21,111.9507,1026.54,0,40788.87,90,9782.1,50570.97,21,9,1.0114194,1.1457938013915243
22,109.0,113.83,107.68,110.92,ok,1572825600,1192900,2019-11-03 18:00:00,110.92,998.28,114.2476,1045.17,0,39790.590000000004,99,10981.08,50771.670000000006,22,9,1.0154334,1.169302129453932
23,109.46,110.39,106.74,108.12,ok,1573430400,1143300,2019-11-10 18:00:00,108.12,973.08,111.3636,1026.54,0,38817.51,108,11676.960000000001,50494.47,23,9,1.0098894,1.1397849462365592
24,103.53,109.47,101.93,108.84,ok,1574035200,1540800,2019-11-17 18:00:00,108.84,979.5600000000001,112.10520000000001,1026.54,0,37837.950000000004,117,12734.28,50572.23,24,9,1.0114446000000001,1.1473750790638837
25,105.93,109.9,104.41,104.53,ok,1574640000,737900,2019-11-24 18:00:00,104.53,1045.3,107.66590000000001,1099.7,0,36792.65,127,13275.31,50067.96,25,10,1.0013592,1.1019397006114273
26,110.37,111.19,102.31,106.51,ok,1575244800,1240300,2019-12-01 18:00:00,106.51,958.59,109.70530000000001,989.73,0,35834.060000000005,136,14485.36,50319.420000000006,26,9,1.0063884,1.1228125658865697
27,112.93,114.65,108.29,109.97,ok,1575849600,947900,2019-12-08 18:00:00,109.97,989.73,113.26910000000001,1026.54,85.54000000000008,36933.76,126,13856.22,50789.98,27,9,1.0157996,1.1592873708623235
28,115.6,116.19,111.7,114.06,ok,1576454400,1499300,2019-12-15 18:00:00,114.06,1026.54,117.4818,1073.43,334.1699999999996,44119.54,63,7185.78,51305.32,28,9,1.0261064,1.202403542061986
29,116.52,117.39,114.46,116.13,ok,1577059200,437300,2019-12-22 18:00:00,116.13,1045.17,119.6139,,181.98000000000025,47255.05,36,4180.68,51435.73,29,9,1.0287146,1.2242251739405439
30,116.09,118.45,114.33,116.3,ok,1577664000,605200,2019-12-29 18:00:00,116.3,1046.7,119.789,,0,46208.350000000006,45,5233.5,51441.850000000006,30,9,1.0288370000000002,1.2260172886358844
31,118.7,118.89,112.99,114.37,ok,1578268800,976900,2020-01-05 18:00:00,114.37,1029.33,117.8011,1073.43,0,45179.020000000004,54,6175.9800000000005,51355.00000000001,31,9,1.0271000000000001,1.2056715159181952
32,119.45,120.63,116.92,119.27,ok,1578873600,1000200,2020-01-12 18:00:00,119.27,954.16,122.8481,,190.89000000000033,48518.58,26,3101.02,51619.6,32,8,1.032392,1.2573265865485979
33,119.52,122.9,118.01,118.6,ok,1579478400,988300,2020-01-19 18:00:00,118.6,948.8,122.158,,0,47569.78,34,4032.3999999999996,51602.18,33,8,1.0320436,1.2502635462787266
34,98.31,119.54,98.19,116.25,ok,1580083200,3583800,2020-01-26 18:00:00,116.25,1046.25,119.7375,,0,46523.53,43,4998.75,51522.28,34,9,1.0304456,1.2254901960784315
35,100.02,108.05,98.88,98.91,ok,1580688000,1412500,2020-02-02 18:00:00,98.91,989.0999999999999,101.8773,1031.0,0,45534.43,53,5242.23,50776.66,35,10,1.0155332000000001,1.0426944971537002
36,104.2,105.14,99.24,99.24,ok,1581292800,1272000,2020-02-09 18:00:00,99.24,992.4,102.21719999999999,1031.0,0,44542.03,63,6252.12,50794.15,36,10,1.015883,1.0461733080328905
37,100.4,106.15,100.01,103.1,ok,1581897600,1414100,2020-02-16 18:00:00,103.1,1031.0,106.193,,80.50000000000011,45573.03,53,5464.299999999999,51037.33,37,10,1.0207466,1.086864853468269
38,88.68,100.14,86.34,95.99,ok,1582502400,3055400,2020-02-23 18:00:00,95.99,959.9,98.8697,,0,44613.13,63,6047.37,50660.5,38,10,1.01321,1.0119122917984398
39,87.5,94.27,83.67,89.9,ok,1583107200,2279200,2020-03-01 18:00:00,89.9,988.9000000000001,92.59700000000001,1022.56,0,43624.229999999996,74,6652.6,50276.829999999994,39,11,1.0055366,0.9477124183006537
40,82.71,88.81,69.41,80.79,ok,1583712000,3530100,2020-03-08 19:00:00,80.79,969.48,83.2137,1059.24,0,42654.74999999999,86,6947.9400000000005,49602.689999999995,40,12,0.9920537999999999,0.8516761543327009
41,70.07,86.28,65.09,74.05,ok,1584316800,3795900,2020-03-15 19:00:00,74.05,1036.7,76.2715,1154.72,0,41618.049999999996,100,7405.0,49023.049999999996,41,14,0.9804609999999999,0.7806240775880244
42,81.08,87.96,69.54,73.26,ok,1584921600,2339600,2020-03-22 19:00:00,73.26,1025.64,75.4578,1154.72,0,40592.409999999996,114,8351.640000000001,48944.049999999996,42,14,0.9788809999999999,0.7722960151802657
43,78.08,87.75,76.64,82.48,ok,1585526400,1741000,2020-03-29 19:00:00,82.48,989.76,84.9544,1059.24,247.0999999999999,41912.09,98,8083.04,49995.13,43,12,0.9999026,0.8694918827746153
44,88.97,92.7,81.42,81.42,ok,1586131200,1284200,2020-04-05 19:00:00,81.42,977.04,83.8626,1059.24,0,40935.049999999996,110,8956.2,49891.25,44,12,0.997825,0.8583175205566098
45,91.5,92.9,84.87,88.27,ok,1586736000,1274100,2020-04-12 19:00:00,88.27,970.9699999999999,90.9181,1022.56,241.44000000000005,43141.799999999996,85,7502.95,50644.74999999999,45,11,1.0128949999999999,0.9305292009276829
46,91.22,91.7,83.33,89.56,ok,1587340800,1420700,2020-04-19 19:00:00,89.56,985.1600000000001,92.24680000000001,1022.56,0,42156.63999999999,96,8597.76,50754.399999999994,46,11,1.015088,0.9441281889099726
47,91.76,104.49,91.06,92.96,ok,1587945600,1882300,2020-04-26 19:00:00,92.96,1022.56,95.7488,1078.66,122.64999999999975,44201.759999999995,74,6879.04,51080.799999999996,47,11,1.0216159999999999,0.9799704828167826
48,100.24,100.37,88.74,90.59,ok,1588550400,1714200,2020-05-03 19:00:00,90.59,996.49,93.30770000000001,1078.66,0,43205.27,85,7700.150000000001,50905.42,48,11,1.0181084,0.9549862955935062
49,90.53,99.79,89.28,98.06,ok,1589155200,1742300,2020-05-10 19:00:00,98.06,980.6,101.0018,,138.2700000000002,44381.99,73,7158.38,51540.369999999995,49,10,1.0308073999999998,1.0337339236769978
50,94.29,101.23,91.09,91.54,ok,1589760000,1504400,2020-05-17 19:00:00,91.54,1006.94,94.28620000000001,1059.74,0,43375.049999999996,84,7689.360000000001,51064.409999999996,50,11,1.0212881999999999,0.965001054185115
51,93.66,98.54,89.67,96.34,ok,1590364800,4059400,2020-05-24 19:00:00,96.34,963.4000000000001,99.23020000000001,,52.799999999999955,43471.38999999999,83,7996.22,51467.60999999999,51,10,1.0293522,1.0156019397006115
